Csec_ID,GeneID,proteinID,domain,annotation,GO
Csec_G13023,B7P43_G13023,PNF33616.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G13024,B7P43_G13024,PNF33619.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G13390,B7P43_G13390,PNF41453.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G13443,B7P43_G13443,PNF17997.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G13942,B7P43_G13942,PNF24837.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G14101,B7P43_G14101,PNF21427.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G14207,B7P43_G14207,PNF17602.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G14268,B7P43_G14268,PNF38758.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G14353,B7P43_G14353,PNF33608.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G14711,B7P43_G14711,PNF29018.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G14730,B7P43_G14730,PNF20273.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G15090,B7P43_G15090,PNF24830.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G16038,B7P43_G16038,PNF14496.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G16267,B7P43_G16267,PNF25678.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G16503,B7P43_G16503,PNF41350.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G16518,B7P43_G16518,PNF29630.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G16680,B7P43_G16680,PNF32293.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G17002,B7P43_G17002,PNF15501.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G17210,B7P43_G17210,PNF22400.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G17374,B7P43_G17374,PNF20723.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G17454,B7P43_G17454,PNF38701.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G17502,B7P43_G17502,PNF22359.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G17508,B7P43_G17508,PNF22352.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G17762,B7P43_G17762,PNF15453.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G17921,B7P43_G17921,PNF19565.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G18164,B7P43_G18164,PNF13589.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G18223,B7P43_G18223,PNF18190.1,-,Ribonuclease H superfamily,GO:0003676
Csec_G12381,B7P43_G12381,PNF38226.1,-,Ribonuclease H superfamily,NA|GO:0003676
Csec_G14289,B7P43_G14289,PNF27984.1,-,Ribonuclease H superfamily,NA|GO:0003676
Csec_G17734,B7P43_G17734,PNF19568.1,-,Ribonuclease H superfamily,GO:0003676|NA
Csec_G01132,B7P43_G01132,PNF34111.1,-,Ribonuclease H superfamily,NA|GO:0003676
Csec_G09051,B7P43_G09051,PNF15847.1,-,Ribonuclease H superfamily,NA|GO:0003676
Csec_G16409,B7P43_G16409,PNF20204.1,-,Ribonuclease H superfamily,NA|GO:0003676
Csec_G02452,B7P43_G02452,PNF32533.1,-,Ribonuclease H superfamily,GO:0003676|NA
Csec_G05287,B7P43_G05287,PNF36296.1,-,Ribonuclease H superfamily,GO:0003676|NA
Csec_G07962,B7P43_G07962,PNF24990.1,-,Ribonuclease H superfamily,GO:0003676|NA
Csec_G18184,B7P43_G18184,PNF15435.1,-,Ribonuclease H superfamily,GO:0003676|NA
Csec_G11888,B7P43_G11888,PNF24314.1,115 KDA PROTEIN IN TYPE-1 RETROTRANSPOSABLE ELEMENT R1DM-LIKE PROTEIN-RELATED|Reverse transcriptase (RT) catalytic domain profile.|Reverse transcriptase (RNA-dependent DNA polymerase),Reverse transcriptase domain,NA|-
Csec_G09709,B7P43_G09709,PNF20391.1,"Acid proteases|Ribonuclease H-like|Integrase core domain|Retrovirus zinc finger-like domains|HIV Type 1 Reverse Transcriptase, subunit A, domain 1|DNA/RNA polymerases|retropepsin_like|RNase H-like domain found in reverse transcriptase|Eukaryotic and viral aspartyl proteases active site.|Integrase zinc binding domain|RNase_HI_RT_Ty3|Acid Proteases|Aspartyl protease, retroviral-type family profile.|ENZYMATIC POLYPROTEIN-RELATED|Integrase catalytic domain profile.|Retroviral aspartyl protease","Reverse transcriptase/Diguanylate cyclase domain|Aspartic peptidase domain superfamily|Ribonuclease H-like superfamily|Integrase, catalytic core|Zinc finger, CCHC-type superfamily|DNA/RNA polymerase superfamily|Reverse transcriptase, RNase H-like domain|Aspartic peptidase, active site|Integrase zinc-binding domain|Peptidase A2A, retrovirus, catalytic|Ribonuclease H superfamily|Retropepsins",-|NA|GO:0015074|GO:0003676|GO:0008270|GO:0004190|GO:0006508|GO:0003676
Csec_G05940,B7P43_G05940,PNF20020.1,AC-LIKE TRANSPOSASE-RELATED|Ribonuclease H-like|Domain of unknown function (DUF4371),Ribonuclease H-like superfamily|Domain of unknown function DUF4371,NA|-
Csec_G10065,B7P43_G10065,PNF31368.1,AC-LIKE TRANSPOSASE-RELATED|Ribonuclease H-like|Domain of unknown function (DUF4371)|hAT family C-terminal dimerisation region,"Ribonuclease H-like superfamily|Domain of unknown function DUF4371|HAT, C-terminal dimerisation domain",NA|-|GO:0046983
Csec_G13220,B7P43_G13220,PNF39390.1,Bbox1|DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",NA|-
Csec_G07410,B7P43_G07410,PNF37848.1,Bbox1|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|DDE_Tnp_1-like zinc-ribbon|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",NA|-
Csec_G15780,B7P43_G15780,PNF29671.1,Bbox1|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|DDE_Tnp_1-like zinc-ribbon|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",NA|-
Csec_G08071,B7P43_G08071,PNF36939.1|PNF36940.1,Bbox1|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4,PiggyBac transposable element-derived protein,NA|-
Csec_G13976,B7P43_G13976,PNF26532.1,Bbox1|Transposase IS4|DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4,"PiggyBac transposable element-derived protein|PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon",NA|-
Csec_G08681,B7P43_G08681,PNF13973.1,Bbox1|Transposase IS4|Zinc finger B-box type profile.|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4,PiggyBac transposable element-derived protein|B-box-type zinc finger,NA|-|GO:0008270
Csec_G03080,B7P43_G03080,PNF24604.1,CILIA AND FLAGELLA-ASSOCIATED PROTEIN 58-RELATED|CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 58,Ribonuclease H superfamily,NA|GO:0003676
Csec_G14716,B7P43_G14716,PNF33122.1,Classic Zinc Finger|Transposase IS4|beta-beta-alpha zinc fingers|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Zinc finger C2H2 type domain signature.|Zinc finger C2H2 type domain profile.,PiggyBac transposable element-derived protein|Zinc finger C2H2 superfamily|Zinc finger C2H2-type,NA|-
Csec_G11183,B7P43_G11183,PNF20901.1|PNF20902.1|PNF20903.1,Cupin|ARGININE DEMETHYLASE AND LYSYL-HYDROXYLASE JMJD|IP10855P|Reverse transcriptase (RT) catalytic domain profile.|DNA/RNA polymerases|RT_nLTR_like|Reverse transcriptase (RNA-dependent DNA polymerase)|IP10855P|ARGININE DEMETHYLASE AND LYSYL-HYDROXYLASE JMJD,Reverse transcriptase domain|DNA/RNA polymerase superfamily,NA|NA|-
Csec_G16661,B7P43_G16661,PNF37380.1,DDE superfamily endonuclease,Harbinger transposase-derived nuclease domain,NA|-
Csec_G06182,B7P43_G06182,PNF30775.1,DDE superfamily endonuclease,Harbinger transposase-derived nuclease domain,-
Csec_G03034,B7P43_G03034,PNF20647.1,DDE superfamily endonuclease|Helix-turn-helix domain (DUF4817)|TRANSPOSABLE ELEMENT TC3 TRANSPOSASE-LIKE PROTEIN,"Tc1-like transposase, DDE domain|Ribonuclease H superfamily|Helix-turn-helix domain (DUF4817)",-|GO:0003676|NA
Csec_G01293,B7P43_G01293,PNF42617.1,DDE superfamily endonuclease|MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,"Tc1-like transposase, DDE domain|Ribonuclease H superfamily",-|NA|GO:0003676
Csec_G17351,B7P43_G17351,PNF17990.1,DDE superfamily endonuclease|MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,"Tc1-like transposase, DDE domain|Ribonuclease H superfamily",-|NA|GO:0003676
Csec_G15704,B7P43_G15704,PNF28444.1,DDE superfamily endonuclease|MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,"Tc1-like transposase, DDE domain|Ribonuclease H superfamily",-|GO:0003676|NA
Csec_G08983,B7P43_G08983,PNF27477.1,DDE superfamily endonuclease|MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Tc1-like transposase, DDE domain|Mos1 transposase, HTH domain|Ribonuclease H superfamily",-|NA|GO:0003676
Csec_G08104,B7P43_G08104,PNF24058.1,DDE superfamily endonuclease|MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Tc1-like transposase, DDE domain|Ribonuclease H superfamily|Mos1 transposase, HTH domain",-|GO:0003676|NA
Csec_G15914,B7P43_G15914,PNF23820.1,DDE superfamily endonuclease|PROTEIN CBG22215,"Tc1-like transposase, DDE domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G00649,B7P43_G00649,PNF44150.1,DDE superfamily endonuclease|SI:DKEY-197C15.6-RELATED|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G11014,B7P43_G11014,PNF18397.1,DDE superfamily endonuclease|SI:DKEY-197C15.6-RELATED|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G03830,B7P43_G03830,PNF25629.1,DDE superfamily endonuclease|SI:DKEY-228L14.1|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G12549,B7P43_G12549,PNF41530.1,DDE superfamily endonuclease|SI:DKEY-228L14.1|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G14186,B7P43_G14186,PNF26940.1,DDE superfamily endonuclease|SI:DKEY-228L14.1|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G15315,B7P43_G15315,PNF34373.1,DDE superfamily endonuclease|SI:DKEY-228L14.1|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G11633,B7P43_G11633,PNF40030.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,NA|-
Csec_G02093,B7P43_G02093,PNF30998.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G03722,B7P43_G03722,PNF35560.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G07881,B7P43_G07881,PNF28680.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G08153,B7P43_G08153,PNF25455.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G08631,B7P43_G08631,PNF24011.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G12288,B7P43_G12288,PNF19897.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G16689,B7P43_G16689,PNF41830.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G16885,B7P43_G16885,PNF27438.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G17856,B7P43_G17856,PNF31039.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G18389,B7P43_G18389,PNF30175.1,DDE superfamily endonuclease|SIMILAR TO ENSANGP00000010363|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G06406,B7P43_G06406,PNF25965.1,DDE superfamily endonuclease|TRANSPOSABLE ELEMENT TC3 TRANSPOSASE-LIKE PROTEIN,"Tc1-like transposase, DDE domain|Ribonuclease H superfamily",-|GO:0003676|NA
Csec_G03759,B7P43_G03759,PNF34772.1,DDE superfamily endonuclease|TRANSPOSABLE ELEMENT-RELATED,"Tc1-like transposase, DDE domain|Ribonuclease H superfamily",-|GO:0003676|NA
Csec_G09730,B7P43_G09730,PNF22054.1,DDE superfamily endonuclease|TRANSPOSON|POGO TRANSPOSABLE ELEMENT WITH KRAB DOMAIN,Ribonuclease H superfamily|DDE superfamily endonuclease domain,GO:0003676|NA
Csec_G01794,B7P43_G01794,PNF21961.1,DDE superfamily endonuclease|TRANSPOSON|TIGGER TRANSPOSABLE ELEMENT-DERIVED PROTEIN 7,Ribonuclease H superfamily|DDE superfamily endonuclease domain,GO:0003676|NA
Csec_G07414,B7P43_G07414,PNF37853.1,DDE superfamily endonuclease|UNCHARACTERIZED|Acid Phosphatase|SIMILAR TO ENSANGP00000010363|HAD-like,"Harbinger transposase-derived nuclease domain|HAD superfamily|Putative nuclease HARBI1-like|Magnesium-dependent phosphatase-1, eukaryotic/archaeal-type|HAD-like superfamily",-|GO:0016791|NA
Csec_G09637,B7P43_G09637,PNF36798.1,DDE superfamily endonuclease|UNCHARACTERIZED|SI:DKEY-228L14.1,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G10715,B7P43_G10715,PNF40094.1,DDE superfamily endonuclease|UNCHARACTERIZED|SI:DKEY-228L14.1,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G15415,B7P43_G15415,PNF22444.1,DDE superfamily endonuclease|UNCHARACTERIZED|SI:DKEY-228L14.1,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G01941,B7P43_G01941,PNF29568.1|PNF29569.1,DDE superfamily endonuclease|UNCHARACTERIZED|SI:DKEY-228L14.1|SI:DKEY-228L14.1|DDE superfamily endonuclease|UNCHARACTERIZED,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like|Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA|NA|-
Csec_G00612,B7P43_G00612,PNF20160.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G01566,B7P43_G01566,PNF14965.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G07084,B7P43_G07084,PNF14277.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G07338,B7P43_G07338,PNF17663.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G09636,B7P43_G09636,PNF36799.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G09655,B7P43_G09655,PNF24378.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G10955,B7P43_G10955,PNF42421.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G12458,B7P43_G12458,PNF15713.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G13190,B7P43_G13190,PNF23363.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G16473,B7P43_G16473,PNF15557.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G17477,B7P43_G17477,PNF26792.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G18008,B7P43_G18008,PNF19561.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G18132,B7P43_G18132,PNF35644.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G18141,B7P43_G18141,PNF13592.1,DDE superfamily endonuclease|UNCHARACTERIZED|SIMILAR TO ENSANGP00000010363,Harbinger transposase-derived nuclease domain|Putative nuclease HARBI1-like,-|NA
Csec_G01593,B7P43_G01593,PNF40383.1,DDE_Tnp_1-like zinc-ribbon,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon",NA|-
Csec_G00619,B7P43_G00619,PNF20156.1,DDE_Tnp_1-like zinc-ribbon,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon",-
Csec_G13691,B7P43_G13691,PNF20319.1,DDE_Tnp_1-like zinc-ribbon,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon",-
Csec_G10662,B7P43_G10662,PNF13895.1,DDE_Tnp_1-like zinc-ribbon|Alcohol dehydrogenase transcription factor Myb/SANT-like|FI09734P-RELATED|UNCHARACTERIZED,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|MADF domain",-|NA
Csec_G08676,B7P43_G08676,PNF13962.1,DDE_Tnp_1-like zinc-ribbon|Bbox1|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
Csec_G10454,B7P43_G10454,PNF41621.1,DDE_Tnp_1-like zinc-ribbon|Bbox1|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
Csec_G11469,B7P43_G11469,PNF19936.1,DDE_Tnp_1-like zinc-ribbon|Bbox1|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
Csec_G01095,B7P43_G01095,PNF16176.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Bbox1|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",NA|-
Csec_G10486,B7P43_G10486,PNF29260.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Bbox1|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",NA|-
Csec_G12983,B7P43_G12983,PNF14193.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Bbox1|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",NA|-
Csec_G17205,B7P43_G17205,PNF43158.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Bbox1|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",NA|-
Csec_G03425,B7P43_G03425,PNF41738.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Bbox1|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
Csec_G11840,B7P43_G11840,PNF42927.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Bbox1|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
Csec_G17015,B7P43_G17015,PNF24176.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Bbox1|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
Csec_G18377,B7P43_G18377,PNF18866.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",NA|-
Csec_G00548,B7P43_G00548,PNF33480.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
Csec_G01488,B7P43_G01488,PNF41241.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
Csec_G09638,B7P43_G09638,PNF13954.1,DDE_Tnp_1-like zinc-ribbon|PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4|Transposase IS4|consensus disorder prediction,"PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon|PiggyBac transposable element-derived protein",-|NA
