GeneID,Gene_ID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj,proteinID,domain,annotation,GO
Csec_G02812,B7P43_G02812,12.41809029,7.458818364,2.448230748,3.046615753,0.002314334,0.026691703,"PNF43932.1,",-,-,-
Csec_G14447,B7P43_G14447,20.65893919,7.417245099,1.827921379,4.057748426,4.95E-05,0.001955343,"PNF24274.1,",-,"NA,",-
Csec_G06691,B7P43_G06691,92.41185516,7.281586228,1.677817586,4.339915309,1.43E-05,0.000800384,"PNF23146.1,",-,-,-
Csec_G09857,B7P43_G09857,112.5257863,7.256500654,1.128718898,6.42897064,1.28E-10,7.31E-08,"PNF13907.1,",-,-,-
Csec_G06288,B7P43_G06288,15.50927211,7.017587489,1.75704444,3.993972679,6.50E-05,0.002358323,"PNF20488.1,",-,"NA,",-
Csec_G15678,B7P43_G15678,102.8786812,6.860098979,1.437757415,4.771388348,1.83E-06,0.000183282,"PNF43195.1,|PNF43196.1,|PNF43197.1,",-,-,-
Csec_G12678,B7P43_G12678,40.49053187,6.80838557,1.417288259,4.803811453,1.56E-06,0.000164915,"PNF39414.1,",-,-,-
Csec_G10988,B7P43_G10988,74.49250815,6.719652045,1.330378592,5.050932183,4.40E-07,6.19E-05,"PNF42077.1,",-,-,-
Csec_G11422,B7P43_G11422,92.11375032,6.647951792,1.313998484,5.059329878,4.21E-07,6.05E-05,"PNF33709.1,",-,"NA,",-
Csec_G15321,B7P43_G15321,276.6453216,6.598268965,1.002186847,6.583871044,4.58E-11,3.19E-08,"PNF34370.1,",-,-,-
Csec_G04514,B7P43_G04514,35.28559339,6.575111237,1.464091291,4.490916159,7.09E-06,0.0004881,"PNF32756.1,",-,-,-
Csec_G17058,B7P43_G17058,1004.755419,6.547150146,0.926668103,7.065258988,1.60E-12,1.82E-09,"PNF31073.1,",-,"NA,",-
Csec_G06785,B7P43_G06785,20.61217421,6.51563269,1.293362367,5.037747237,4.71E-07,6.55E-05,"PNF14308.1,",-,-,-
Csec_G10783,B7P43_G10783,16.74590536,6.49582788,1.757556631,3.695942291,0.000219073,0.005508492,"PNF29190.1,",-,-,-
Csec_G13406,B7P43_G13406,132.0475606,6.404915022,1.210897056,5.289396809,1.23E-07,2.13E-05,"PNF30342.1,",-,-,-
Csec_G15317,B7P43_G15317,322.6544229,6.402615796,1.813516627,3.530497432,0.000414779,0.008743877,"PNF38117.1,",-,"NA,",-
Csec_G07329,B7P43_G07329,44.79137997,6.333352905,1.310887436,4.831347627,1.36E-06,0.000146391,"PNF17709.1,",-,"NA,",-
Csec_G11148,B7P43_G11148,53.44506874,6.249264519,1.401653168,4.458495627,8.25E-06,0.000543961,"PNF25894.1,",-,-,-
Csec_G07474,B7P43_G07474,43.68472864,6.228887772,1.230183463,5.063381162,4.12E-07,6.00E-05,"PNF15929.1,",-,-,-
Csec_G10465,B7P43_G10465,28.0173803,6.18854088,1.537630567,4.024725453,5.70E-05,0.002144978,"PNF41605.1,",-,-,-
Csec_G10614,B7P43_G10614,196.922373,6.184345817,0.920893627,6.715591938,1.87E-11,1.47E-08,"PNF33284.1,",-,-,-
Csec_G15322,B7P43_G15322,33.80107977,6.061670948,1.336913573,4.534078396,5.79E-06,0.000413981,"PNF34371.1,",-,-,-
Csec_G03518,B7P43_G03518,76.98034735,6.054656173,1.501134596,4.033386605,5.50E-05,0.002105089,"PNF35949.1,",-,-,-
Csec_G09071,B7P43_G09071,95.73952731,5.939560419,0.987652452,6.013816303,1.81E-09,7.59E-07,"PNF17139.1,",-,-,-
Csec_G04713,B7P43_G04713,43.71435497,5.851402218,1.309859018,4.46720001,7.93E-06,0.000527856,"PNF16901.1,",-,-,-
Csec_G10346,B7P43_G10346,49.60309532,5.807670012,1.198520865,4.845697879,1.26E-06,0.00014106,"PNF21728.1,",-,-,-
Csec_G14936,B7P43_G14936,34.19916243,5.799475349,1.144055911,5.069223711,3.99E-07,5.88E-05,"PNF29008.1,",-,"NA,",-
Csec_G10754,B7P43_G10754,61.29820823,5.790056227,1.185732881,4.883103371,1.04E-06,0.000125737,"PNF37789.1,",-,"NA,",-
Csec_G09855,B7P43_G09855,40.32094919,5.767708886,1.29652642,4.448585696,8.64E-06,0.000560014,"PNF13945.1,",-,"NA,",-
Csec_G01078,B7P43_G01078,12.76596102,5.681978773,1.651089792,3.441350557,0.000578818,0.010756895,"PNF43106.1,",-,-,-
Csec_G06513,B7P43_G06513,16.32015573,5.659222862,1.688017957,3.352584514,0.000800608,0.013313695,"PNF23495.1,",-,"NA,",-
Csec_G07334,B7P43_G07334,68.89162605,5.653798309,1.18839873,4.757492722,1.96E-06,0.000191755,"PNF17653.1,",-,-,-
Csec_G08928,B7P43_G08928,65.47932046,5.572538618,1.463216066,3.808418146,0.000139859,0.004007574,"PNF14731.1,",-,-,-
Csec_G11942,B7P43_G11942,38.61791787,5.568496084,1.338015338,4.161758036,3.16E-05,0.001481994,"PNF37619.1,",-,-,-
Csec_G09828,B7P43_G09828,15.01344913,5.500302692,1.463980778,3.757086687,0.000171903,0.00465924,"PNF23041.1,",-,-,-
Csec_G01999,B7P43_G01999,55.74679308,5.473994902,1.654913121,3.307723429,0.000940576,0.01477779,"PNF25184.1,",-,"NA,",-
Csec_G09245,B7P43_G09245,47.42525105,5.39951879,1.552610857,3.477702584,0.000505731,0.009818233,"PNF37823.1,",-,"NA,",-
Csec_G14618,B7P43_G14618,194.058949,5.390589443,1.128913662,4.775023659,1.80E-06,0.000182417,"PNF43692.1,",-,"NA,",-
Csec_G08330,B7P43_G08330,155.7309732,5.388496869,1.020583139,5.279821569,1.29E-07,2.22E-05,"PNF42169.1,",-,"NA,",-
Csec_G10347,B7P43_G10347,110.404612,5.384834343,0.789627352,6.819462787,9.14E-12,8.17E-09,"PNF21727.1,",-,-,-
Csec_G16887,B7P43_G16887,1933.610043,5.35840365,0.91088354,5.882644068,4.04E-09,1.44E-06,NA,-,NA,-
Csec_G04873,B7P43_G04873,377.7665979,5.307876739,0.933697027,5.684795589,1.31E-08,3.73E-06,"PNF32415.1,",-,-,-
Csec_G05167,B7P43_G05167,13.46899551,5.228735991,1.607826485,3.252052408,0.001145749,0.016938687,"PNF32091.1,",-,-,-
Csec_G11970,B7P43_G11970,28.01918006,5.201694026,0.954867626,5.447555121,5.11E-08,1.08E-05,NA,-,NA,-
Csec_G07377,B7P43_G07377,11.50720859,5.180026597,1.717973063,3.015196635,0.002568127,0.028716102,"PNF17629.1,",-,-,-
Csec_G06686,B7P43_G06686,9.043897346,5.141539743,1.785698,2.879288515,0.003985735,0.03865947,"PNF23128.1,",-,-,-
Csec_G18071,B7P43_G18071,34.6860602,5.034931194,1.378841135,3.651567296,0.000260645,0.006181428,"PNF40756.1,",-,"NA,",-
Csec_G13187,B7P43_G13187,135.0176578,4.985494952,0.626435355,7.958514649,1.74E-15,3.63E-12,"PNF23353.1,",-,-,-
Csec_G17283,B7P43_G17283,22.80734518,4.970845028,1.241411808,4.004187003,6.22E-05,0.00229007,"PNF13646.1,",-,"NA,",-
Csec_G00730,B7P43_G00730,43.33778762,4.969145554,1.583726035,3.137629518,0.0017032,0.022145675,"PNF32212.1,",-,-,-
Csec_G16463,B7P43_G16463,36.89686059,4.966227618,1.057134057,4.697821991,2.63E-06,0.000223991,"PNF17533.1,",-,-,-
Csec_G03255,B7P43_G03255,44.7314843,4.918561678,1.017369025,4.834589572,1.33E-06,0.000145278,"PNF40357.1,",-,-,-
Csec_G16881,B7P43_G16881,2835.077779,4.910950158,0.858795531,5.718416062,1.08E-08,3.28E-06,NA,-,NA,-
Csec_G13775,B7P43_G13775,200.3803881,4.861381334,0.720546948,6.746793319,1.51E-11,1.26E-08,"PNF43737.1,",-,-,-
Csec_G14273,B7P43_G14273,13.17313503,4.836742505,1.322968019,3.655978402,0.000256203,0.006134174,"PNF42671.1,",-,"NA,",-
Csec_G16812,B7P43_G16812,130.4982796,4.819143043,1.098197813,4.388228594,1.14E-05,0.000689172,"PNF32292.1,",-,"NA,",-
Csec_G03073,B7P43_G03073,46142.5227,4.672785824,0.853704066,5.473542894,4.41E-08,9.86E-06,NA,-,NA,-
Csec_G03465,B7P43_G03465,43.78723439,4.613816586,1.392102446,3.314279491,0.000918796,0.014627399,"PNF41751.1,",-,-,-
Csec_G18370,B7P43_G18370,19.3218182,4.611443973,1.348198234,3.420449497,0.000625177,0.011280219,"PNF31592.1,",-,"NA,",-
Csec_G14616,B7P43_G14616,32.33642568,4.599119669,1.030928981,4.461141122,8.15E-06,0.000540131,"PNF43691.1,",-,-,-
Csec_G07066,B7P43_G07066,27.73226275,4.526470845,1.113987252,4.063305783,4.84E-05,0.001935612,"PNF17739.1,",-,-,-
Csec_G14956,B7P43_G14956,31.39036199,4.504910094,1.191603732,3.780543795,0.000156486,0.004373929,"PNF14555.1,",-,"NA,",-
Csec_G10428,B7P43_G10428,12.84892547,4.496443172,1.431620997,3.14080555,0.001684839,0.021999529,"PNF15810.1,",-,"NA,",-
Csec_G04260,B7P43_G04260,28.63480341,4.393215306,1.041563064,4.217906202,2.47E-05,0.001235077,"PNF20603.1,",-,-,-
Csec_G07317,B7P43_G07317,14.33986863,4.372424449,1.3110564,3.33503917,0.000852874,0.013851733,"PNF42179.1,",-,-,-
Csec_G01118,B7P43_G01118,308.1351542,4.332099193,0.795084228,5.448604107,5.08E-08,1.08E-05,"PNF16181.1,",-,"NA,",-
Csec_G16813,B7P43_G16813,31.21133902,4.274145651,1.379785483,3.097688521,0.001950363,0.02403784,"PNF32291.1,",-,"NA,",-
Csec_G17551,B7P43_G17551,41.44684191,4.25907558,1.352560058,3.148899418,0.001638866,0.021579263,"PNF34199.1,",-,"NA,",-
Csec_G16188,B7P43_G16188,764.5216156,4.235442745,1.147880772,3.689793269,0.000224436,0.005620784,"PNF20241.1,",-,"NA,",-
Csec_G16683,B7P43_G16683,142.6887239,4.233193927,0.844916237,5.010193602,5.44E-07,7.40E-05,NA,-,NA,-
Csec_G11826,B7P43_G11826,17.99041577,4.212619659,1.420243565,2.966124799,0.003015781,0.032059747,"PNF20850.1,",-,"NA,",-
Csec_G00553,B7P43_G00553,39.39135102,4.212028038,1.239536207,3.398067771,0.000678636,0.011885148,"PNF33499.1,",-,"NA,",-
Csec_G14948,B7P43_G14948,20.77122597,4.126861537,1.074605807,3.840349186,0.000122859,0.003712407,"PNF34375.1,",-,"NA,",-
Csec_G12280,B7P43_G12280,243.9153584,4.097529331,0.853213478,4.802466715,1.57E-06,0.000164915,"PNF27768.1,",-,-,-
Csec_G17828,B7P43_G17828,9.962477179,4.074810987,1.443441706,2.822982716,0.004757914,0.043551604,"PNF21978.1,",-,-,-
Csec_G07429,B7P43_G07429,1324.507356,4.043577117,1.060758012,3.811969431,0.000137864,0.003959477,"PNF37090.1,|PNF37091.1,|PNF37092.1,",-,-,-
Csec_G14229,B7P43_G14229,23.24611571,4.040754341,1.193898116,3.384505165,0.000713067,0.012214805,"PNF38167.1,",-,"NA,",-
Csec_G13774,B7P43_G13774,31.94145921,3.869128571,1.169054377,3.309622415,0.000934219,0.014777646,"PNF43738.1,",-,-,-
Csec_G01579,B7P43_G01579,24905.94175,3.793374303,0.717111143,5.28979969,1.22E-07,2.13E-05,"PNF40361.1,|PNF40362.1,",-,-,-
Csec_G13999,B7P43_G13999,9043.541577,3.713714329,0.692319739,5.364160691,8.13E-08,1.54E-05,NA,-,NA,-
Csec_G01019,B7P43_G01019,78.72062365,3.652659195,0.887228515,4.116931696,3.84E-05,0.001690847,"PNF15415.1,",-,"NA,",-
Csec_G14070,B7P43_G14070,60.21140758,3.614610906,0.94659515,3.818539433,0.000134244,0.003891215,"PNF43719.1,",-,-,-
Csec_G05142,B7P43_G05142,505.7039285,3.584273616,0.754323748,4.751638303,2.02E-06,0.000193942,"PNF14899.1,",-,-,-
Csec_G16716,B7P43_G16716,35.72232207,3.439726313,0.803400567,4.28145866,1.86E-05,0.000972798,"PNF38710.1,",-,"NA,",-
Csec_G00922,B7P43_G00922,26.45851092,3.434520764,0.695324945,4.939447074,7.83E-07,9.91E-05,"PNF39901.1,",-,"NA,",-
Csec_G13646,B7P43_G13646,34.66261603,3.412441088,0.841074957,4.057237775,4.97E-05,0.001955343,"PNF32328.1,",-,-,-
Csec_G16573,B7P43_G16573,30.90003224,3.409119304,1.01087875,3.372431466,0.000745076,0.012624959,"PNF32981.1,",-,"NA,",-
Csec_G13101,B7P43_G13101,765.8347837,3.406862727,0.719718748,4.733602861,2.21E-06,0.00020459,"PNF14607.1,",-,-,-
Csec_G15247,B7P43_G15247,268.5064023,3.362498026,1.032600516,3.256339672,0.001128586,0.016819091,"PNF22462.1,",-,-,-
Csec_G05315,B7P43_G05315,1033.417215,3.323573241,1.131676929,2.936856939,0.00331557,0.033947318,"PNF27256.1,|PNF27257.1,|PNF27258.1,",-,-,-
Csec_G15162,B7P43_G15162,55.27567716,3.316802293,0.924504581,3.587653715,0.000333667,0.007434481,"PNF31164.1,",-,"NA,",-
Csec_G17117,B7P43_G17117,40.63731312,3.30274532,0.94854674,3.481900447,0.000497869,0.00970089,"PNF40772.1,",-,-,-
Csec_G14092,B7P43_G14092,79.96294607,3.274377518,1.050908604,3.115758596,0.001834724,0.023220477,"PNF28545.1,",-,"NA,",-
Csec_G05310,B7P43_G05310,721.492001,3.263750437,1.037785022,3.144919581,0.001661325,0.021760576,"PNF27249.1,",-,-,-
Csec_G16971,B7P43_G16971,42.27947122,3.252338124,0.684626553,4.750528753,2.03E-06,0.000193942,"PNF26842.1,",-,"NA,",-
Csec_G11286,B7P43_G11286,515.5343786,3.193693423,0.74203352,4.303974603,1.68E-05,0.000902049,"PNF21646.1,|PNF21647.1,",-,-,-
Csec_G03772,B7P43_G03772,75.64253592,3.185411828,0.980347765,3.249267189,0.001157027,0.017005044,"PNF34760.1,",-,"NA,",-
Csec_G07207,B7P43_G07207,492.6732965,3.177591106,0.674010632,4.714452493,2.42E-06,0.000215238,"PNF16545.1,",-,"NA,",-
Csec_G07285,B7P43_G07285,2854.353173,3.151242618,0.749629483,4.203733566,2.63E-05,0.001299457,"PNF29965.1,",-,-,-
Csec_G08737,B7P43_G08737,39.02619004,3.009723033,0.744888348,4.040502231,5.33E-05,0.002067753,"PNF42483.1,",-,-,-
Csec_G05316,B7P43_G05316,64.56110198,2.997683106,1.002877427,2.989082239,0.002798168,0.030415504,"PNF27259.1,|PNF27260.1,|PNF27261.1,|PNF27262.1,",-,-,-
Csec_G00870,B7P43_G00870,518.7710357,2.990098552,0.637076206,4.693470769,2.69E-06,0.000227264,"PNF16730.1,",-,"NA,",-
Csec_G16672,B7P43_G16672,35.95357467,2.983887442,0.846391185,3.525423581,0.000422806,0.008868306,"PNF32969.1,",-,-,-
Csec_G09827,B7P43_G09827,211.388721,2.826350553,0.53348885,5.297862465,1.17E-07,2.10E-05,"PNF23026.1,",-,-,-
Csec_G05962,B7P43_G05962,112.5640758,2.803119911,0.754881444,3.713324701,0.000204554,0.005270427,"PNF21837.1,",-,"NA,",-
Csec_G14192,B7P43_G14192,23.64577186,2.768326802,0.946050329,2.926194004,0.003431369,0.034655434,"PNF29021.1,",-,-,-
Csec_G13346,B7P43_G13346,840.9454085,2.767149227,0.608216869,4.549609471,5.37E-06,0.000395884,"PNF36616.1,",-,"NA,",-
Csec_G17102,B7P43_G17102,48.55019572,2.73505911,0.941850323,2.903921189,0.003685209,0.036508061,"PNF23303.1,|PNF23304.1,",-,-,-
Csec_G04167,B7P43_G04167,373.7008265,2.711454631,0.753450032,3.598718583,0.000319789,0.007215131,"PNF33398.1,",-,-,-
Csec_G14171,B7P43_G14171,1478.791157,2.633573522,0.776271361,3.392593948,0.000692342,0.011974454,"PNF42706.1,",-,-,-
Csec_G08992,B7P43_G08992,2193.903679,2.591348705,0.862158283,3.005653088,0.002650112,0.0293617,"PNF18416.1,|PNF18417.1,",-,-,-
Csec_G18107,B7P43_G18107,589.8915453,2.581828777,0.820934478,3.144987629,0.001660939,0.021760576,"PNF28352.1,",-,"NA,",-
Csec_G12460,B7P43_G12460,504.8561526,2.570617571,0.694193973,3.703024904,0.000213044,0.005412116,"PNF15728.1,",-,"NA,",-
Csec_G11359,B7P43_G11359,289.7480263,2.556950927,0.695823924,3.674709707,0.00023812,0.005823708,"PNF26611.1,",-,-,-
Csec_G15674,B7P43_G15674,21.78030328,2.515948091,0.792530326,3.174576428,0.001500554,0.020313441,"PNF43185.1,|PNF43186.1,",-,-,-
Csec_G15426,B7P43_G15426,600.3128915,2.474884538,0.864558554,2.862599099,0.004201818,0.040025886,"PNF38096.1,",-,-,-
Csec_G17666,B7P43_G17666,90.18439806,2.445872203,0.744052156,3.287232198,0.001011774,0.015621986,"PNF14148.1,",-,-,-
Csec_G06242,B7P43_G06242,492.5996539,2.437894705,0.671333676,3.631420249,0.000281866,0.006560452,"PNF41069.1,",-,"NA,",-
Csec_G17928,B7P43_G17928,42.31655713,2.427535193,0.639799897,3.794210041,0.000148114,0.004186652,"PNF32625.1,",-,"NA,",-
Csec_G08578,B7P43_G08578,25233.86557,2.389819534,0.498071861,4.798142037,1.60E-06,0.00016711,"PNF35881.1,|PNF35882.1,|PNF35883.1,",-,-,-
Csec_G15493,B7P43_G15493,102.379719,2.378513163,0.677409464,3.511189744,0.000446106,0.009141237,"PNF34363.1,",-,"NA,",-
Csec_G18369,B7P43_G18369,57.33442468,2.362768119,0.641853256,3.681165589,0.00023217,0.005722903,"PNF39906.1,",-,"NA,",-
Csec_G09662,B7P43_G09662,663.583588,2.338886565,0.604271723,3.870587483,0.000108573,0.003407408,"PNF24463.1,",-,"NA,",-
Csec_G10171,B7P43_G10171,894.2567165,2.320840492,0.526878218,4.404889804,1.06E-05,0.000652857,"PNF24926.1,|PNF24927.1,",-,-,-
Csec_G07405,B7P43_G07405,197.7427266,2.277054912,0.806017541,2.825068681,0.004727048,0.043427805,"PNF37877.1,",-,-,-
Csec_G02037,B7P43_G02037,108.3440433,2.263466449,0.666222122,3.397465159,0.000680132,0.011894719,"PNF25072.1,",-,-,-
Csec_G09962,B7P43_G09962,207.8698017,2.259065206,0.504650503,4.476494507,7.59E-06,0.000510356,"PNF19969.1,|PNF19970.1,",-,-,-
Csec_G13929,B7P43_G13929,4455.69341,2.183871892,0.725584204,3.009811792,0.002614096,0.029139402,"PNF43366.1,",-,-,-
Csec_G13985,B7P43_G13985,191.4352879,2.153292059,0.552197613,3.899495411,9.64E-05,0.003130808,"PNF20759.1,",-,-,-
Csec_G11553,B7P43_G11553,255.7250664,2.148155545,0.717704471,2.993092047,0.002761664,0.030097095,"PNF31309.1,|PNF31310.1,|PNF31311.1,",-,-,-
Csec_G02706,B7P43_G02706,12888.49321,2.139156233,0.523883713,4.08326539,4.44E-05,0.001847401,"PNF43076.1,",-,-,-
Csec_G03125,B7P43_G03125,54.39065678,2.135334975,0.691148314,3.089546677,0.002004622,0.024370755,"PNF30123.1,",-,"NA,",-
Csec_G17974,B7P43_G17974,83.19823052,2.113646139,0.649137327,3.256084733,0.0011296,0.016819091,"PNF16196.1,|PNF16197.1,",-,-,-
Csec_G15427,B7P43_G15427,960.1463722,2.101042332,0.729478071,2.880199442,0.003974237,0.038637728,"PNF38095.1,",-,-,-
Csec_G10816,B7P43_G10816,140.6670946,2.090964506,0.408270504,5.121517437,3.03E-07,4.87E-05,"PNF19092.1,",-,"NA,",-
Csec_G09656,B7P43_G09656,1104.144768,2.072538871,0.580132242,3.57252833,0.000353551,0.00775336,"PNF24381.1,",-,-,-
Csec_G16423,B7P43_G16423,1093.034955,2.022489941,0.556645253,3.633355228,0.000279759,0.006535723,"PNF14490.1,",-,"NA,",-
Csec_G11868,B7P43_G11868,29.56479759,2.018787033,0.684999432,2.947136797,0.003207313,0.033260186,"PNF29157.1,",-,"NA,",-
Csec_G03735,B7P43_G03735,66.11724596,2.017378662,0.533611268,3.780614806,0.000156442,0.004373929,"PNF34794.1,",-,"NA,",-
Csec_G13640,B7P43_G13640,66.6444974,2.009811554,0.547213095,3.672813341,0.000239895,0.005844283,"PNF32330.1,",-,"NA,",-
Csec_G14565,B7P43_G14565,2143.341937,1.9761962,0.55433969,3.564955271,0.000363918,0.007911431,"PNF37484.1,",-,-,-
Csec_G18084,B7P43_G18084,278.6648849,1.969957703,0.603358263,3.264988357,0.001094686,0.016475547,"PNF17483.1,",-,"NA,",-
Csec_G14681,B7P43_G14681,2146.928077,1.938592487,0.513126866,3.777998416,0.000158094,0.004399226,"PNF36593.1,",-,-,-
Csec_G09302,B7P43_G09302,40.02638052,1.910613846,0.687931552,2.777331321,0.005480728,0.04799278,"PNF22068.1,",-,"NA,",-
Csec_G13103,B7P43_G13103,287.8998159,1.875233236,0.653784351,2.868274886,0.004127168,0.039541236,"PNF14595.1,",-,-,-
Csec_G16585,B7P43_G16585,255.2323442,1.83231466,0.604637424,3.030435408,0.002442014,0.027673214,"PNF40816.1,",-,"NA,",-
Csec_G14598,B7P43_G14598,341.5492362,1.824026465,0.515515486,3.538257363,0.000402777,0.008548436,"PNF17995.1,",-,-,-
Csec_G02314,B7P43_G02314,328.0780874,1.809579826,0.547965663,3.302359887,0.00095875,0.014969407,"PNF38627.1,",-,-,-
Csec_G13368,B7P43_G13368,246.5269417,1.742219252,0.445587502,3.909937429,9.23E-05,0.003034203,"PNF38218.1,",-,"NA,",-
Csec_G16297,B7P43_G16297,144.8477133,1.730355095,0.375506584,4.608055276,4.06E-06,0.000312245,"PNF34301.1,",-,"NA,",-
Csec_G00936,B7P43_G00936,25254.35783,1.669756082,0.546409355,3.055870232,0.002244084,0.026164259,"PNF15279.1,",-,"NA,",-
Csec_G17892,B7P43_G17892,174.2202078,1.664777417,0.601352699,2.768387706,0.00563344,0.048953456,"PNF31035.1,",-,"NA,",-
Csec_G02851,B7P43_G02851,62.47636475,1.662962174,0.529073123,3.143161317,0.001671337,0.021846999,"PNF40679.1,",-,"NA,",-
Csec_G06485,B7P43_G06485,71.55738335,1.657671858,0.489535312,3.386215084,0.000708638,0.012205732,"PNF27190.1,",-,"NA,",-
Csec_G04471,B7P43_G04471,390.9280738,1.643395317,0.589647934,2.787078905,0.005318553,0.046900646,"PNF32795.1,|PNF32796.1,|PNF32797.1,",-,-,-
Csec_G16316,B7P43_G16316,738.1906707,1.630994399,0.485319792,3.36065915,0.000777567,0.013009849,"PNF18254.1,",-,"NA,",-
Csec_G15570,B7P43_G15570,55.19805218,1.630257316,0.521836644,3.124075962,0.001783644,0.022674914,"PNF15141.1,",-,-,-
Csec_G10245,B7P43_G10245,187.8188169,1.606330111,0.436198481,3.682566953,0.000230897,0.005702751,"PNF22039.1,",-,"NA,",-
Csec_G18351,B7P43_G18351,64.65372049,1.600343637,0.577165942,2.772761732,0.00555828,0.04849276,"PNF30176.1,",-,-,-
Csec_G11346,B7P43_G11346,236.4255828,1.59643499,0.576363486,2.76984061,0.005608373,0.048769477,"PNF26613.1,",-,-,-
Csec_G02953,B7P43_G02953,125.2590031,1.550159056,0.320330407,4.839250424,1.30E-06,0.000144019,"PNF22253.1,",-,"NA,",-
Csec_G12611,B7P43_G12611,233.3139101,1.541903631,0.450952193,3.419217503,0.000628015,0.011310141,"PNF29090.1,",-,"NA,",-
Csec_G14559,B7P43_G14559,149.4748069,1.538078102,0.469631676,3.275073167,0.001056346,0.016119404,"PNF33598.1,",-,"NA,",-
Csec_G16638,B7P43_G16638,283.848554,1.533409934,0.52156111,2.940038864,0.003281711,0.033710275,"PNF24774.1,",-,"NA,",-
Csec_G11070,B7P43_G11070,436.5934884,1.52435288,0.373258121,4.083910825,4.43E-05,0.001847401,"PNF39462.1,",-,"NA,",-
Csec_G04872,B7P43_G04872,162.5117971,1.514660517,0.516219639,2.934139663,0.003344737,0.034134305,"PNF20571.1,",-,"NA,",-
Csec_G00937,B7P43_G00937,3830.787168,1.49949668,0.520190558,2.882591115,0.00394419,0.038465073,"PNF15278.1,",-,-,-
Csec_G14306,B7P43_G14306,90.26610598,1.496210735,0.519109013,2.882266918,0.003948251,0.038474709,"PNF19805.1,",-,"NA,",-
Csec_G11712,B7P43_G11712,1842.56196,1.463304558,0.359075351,4.075201913,4.60E-05,0.001864314,"PNF19044.1,",-,-,-
Csec_G15227,B7P43_G15227,427.6116874,1.446576593,0.433588616,3.336288219,0.000849051,0.013851733,"PNF28467.1,|PNF28468.1,",-,-,-
Csec_G03507,B7P43_G03507,246.2865558,1.332462565,0.45036784,2.958609487,0.003090304,0.032545662,"PNF39807.1,",-,"NA,",-
Csec_G05382,B7P43_G05382,197.0320125,1.33188319,0.306705516,4.342547241,1.41E-05,0.00079771,"PNF24558.1,",-,Ribonuclease H superfamily,GO:0003676
Csec_G09541,B7P43_G09541,3952.172502,1.197143944,0.408497258,2.930604606,0.003383031,0.034273714,"PNF29837.1,|PNF29838.1,|PNF29839.1,|PNF29840.1,|PNF29841.1,",-,-,-
